Key,File,Type,UsedInMainMenu,english
Doomlord,entityclasses,Entity,false,"Doomlord"
DoomlordDemolishman,entityclasses,Entity,false,"Doomlord Demolishman"
AECDoomlordDemolishmanBoss,entityclasses,Entity,false,"Doomlord Demolishman Boss"
AECDoomlordDemolishmanMinion,entityclasses,Entity,false,"Doomlord Minion"
AECDemolishmanMinion01,entityclasses,Entity,false,"Doomlord Minion01 Grenadier"
AECDemolishmanMinion02,entityclasses,Entity,false,"Doomlord Minion02 Rocket"
AECDemolishmanMinion03,entityclasses,Entity,false,"Doomlord Minion03 Pistol"
AECDemolishmanMinion04,entityclasses,Entity,false,"Doomlord Minion04 Shotgun"
AECDemolishmanMinion05,entityclasses,Entity,false,"Doomlord Minion05 Sniper"
AECDemolishmanMinion06,entityclasses,Entity,false,"Doomlord Minion06 Magnum"
AECDemolishmanMinion07,entityclasses,Entity,false,"Doomlord Minion07 Knife"
DoomlordBossLootBag,entityclasses,Entity,false,"Doomlord Boss Loot Bag"
DoomlordMinion01LootBag,entityclasses,Entity,false,"Doomlord Grenadier Loot Bag"
DoomlordMinion02LootBag,entityclasses,Entity,false,"Doomlord Rocket Loot Bag"
DoomlordMinion03LootBag,entityclasses,Entity,false,"Doomlord Pistol Loot Bag"
DoomlordMinion04LootBag,entityclasses,Entity,false,"Doomlord Shotgun Loot Bag"
DoomlordMinion05LootBag,entityclasses,Entity,false,"Doomlord Sniper Loot Bag"
DoomlordMinion06LootBag,entityclasses,Entity,false,"Doomlord Magnum Loot Bag"
DoomlordMinion07LootBag,entityclasses,Entity,false,"Doomlord Knife Loot Bag"
DoomlordMinionBaseLootBag,entityclasses,Entity,false,"Doomlord Minion Loot Bag"
questAECDoomlordHordeMinion_name,quests,,false,"[FF4500]Doomlord Minion Horde[-]"
questAECDoomlordHordeMinion_subtitle,quests,,false,"Doomlord T3 Horde"
questAECDoomlordHordeMinion_description,quests,,false,"Activate the rally, place the lure, then wipe out three waves of Doomlord base minions."
questAECDoomlordHordeMinion_offer,quests,,false,"Reports of Doomlord minions massing in the area. Trigger the rally, drop the lure, and brace for three waves."
questAECDoomlordHordeMinion_statement,quests,,false,"Wipe out all three waves of Doomlord minions."
questAECDoomlordHordeMinion_response,quests,,false,"AEC HORDE - [FF4500]Doomlord Minion Horde[-]"
questAECDoomlordHordeMinion_completion,quests,,false,"Good work. Three waves down. Here's your reward."
itemAECDoomlordContract_Minion,,,false,"[FF0000]AEC 3★ |[-] [FFD700]Doomlord Contract: Minion Horde[-]"
itemAECDoomlordContract_Minion_desc,,,false,"Contract: Eliminate three waves of Doomlord base minions."
