Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
handicapSensibilidadName,buffs,Buff,,,Sensitive Stomach,,,Sensibilidad Estomacal,,,,,,,,,,
handicapAsmaName,buffs,Buff,,,Asthma,,,Asma,,,,,,,,,,
handicapDebilName,buffs,Buff,,,Weak,,,Debil,,,,,,,,,,
handicapTortugaName,buffs,Buff,,,Slowpoke,,,Tortuga,,,,,,,,,,
handicapGolosoName,buffs,Buff,,,Big Eater,,,Goloso,,,,,,,,,,
handicapBebedorName,buffs,Buff,,,Heavy Drinker,,,Bebedor,,,,,,,,,,
handicapFriolentoName,buffs,Buff,,,Cold-Blooded,,,Friolento,,,,,,,,,,
handicapPielSensibleName,buffs,Buff,,,Sensitive Skin,,,Piel Sensible,,,,,,,,,,
handicapInmuneDebilName,buffs,Buff,,,Weak Immune System,,,Sistema Inmune Debil,,,,,,,,,,
handicapSangreLigeraName,buffs,Buff,,,Thin Blood,,,Sangre Ligera,,,,,,,,,,
handicapManazasName,buffs,Buff,,,Clumsy,,,Manazas,,,,,,,,,,
handicapEspaldaDebilName,buffs,Buff,,,Bad Back,,,Espalda Debil,,,,,,,,,,
handicapMenteDispersaName,buffs,Buff,,,Scattered Mind,,,Mente Dispersa,,,,,,,,,,
handicapPesimoNegociadorName,buffs,Buff,,,Bad Negotiator,,,Pesimo Negociador,,,,,,,,,,
handicapVertigoName,buffs,Buff,,,Vertigo,,,Vertigo,,,,,,,,,,
buffPulmonesDeAceroName,buffs,Buff,,,Iron Lungs,,,Pulmones de Acero,,,,,,,,,,
buffEstomagoDeHierroName,buffs,Buff,,,Iron Stomach,,,Estomago de Hierro,,,,,,,,,,
buffFuerteName,buffs,Buff,,,Strong,,,Fuerte,,,,,,,,,,
buffVelocistaName,buffs,Buff,,,Sprinter,,,Velocista,,,,,,,,,,
buffMetabolismoLentoName,buffs,Buff,,,Slow Metabolism,,,Metabolismo Lento,,,,,,,,,,
buffCamelloName,buffs,Buff,,,Camel,,,Camello,,,,,,,,,,
buffSangreFriaName,buffs,Buff,,,Thermal Resilience,,,Sangre Fria,,,,,,,,,,
buffDefensasFuertesName,buffs,Buff,,,Strong Immunity,,,Defensas Fuertes,,,,,,,,,,
buffCoagulacionRapidaName,buffs,Buff,,,Quick Clotting,,,Coagulacion Rapida,,,,,,,,,,
buffManosHabilesName,buffs,Buff,,,Skilled Hands,,,Manos Habiles,,,,,,,,,,
buffEspaldaFuerteName,buffs,Buff,,,Strong Back,,,Espalda Fuerte,,,,,,,,,,
buffMenteDespiertaName,buffs,Buff,,,Sharp Mind,,,Mente Despierta,,,,,,,,,,
buffCarismaticoName,buffs,Buff,,,Charismatic,,,Carismatico,,,,,,,,,,
buffEquilibrioName,buffs,Buff,,,Balanced,,,Equilibrio,,,,,,,,,,
handicapSensibilidadDesc,buffs,Buff,,,Born with a delicate stomach. -6% dysentery resistance from dirty food/water.,,,Naciste con un estomago delicado. -6% resistencia a disenteria por agua y comida en mal estado.,,,,,,,,,,
handicapAsmaDesc,buffs,Buff,,,Born with asthma. -4% maximum stamina.,,,Naciste con asma. -4% resistencia maxima.,,,,,,,,,,
handicapDebilDesc,buffs,Buff,,,Weak constitution. -4% melee damage.,,,Constitucion debil. -4% dano cuerpo a cuerpo.,,,,,,,,,,
handicapTortugaDesc,buffs,Buff,,,You move slower than normal. -4% run speed.,,,Te mueves mas lento de lo normal. -4% velocidad de carrera.,,,,,,,,,,
handicapGolosoDesc,buffs,Buff,,,Your body doesnt make the most of food. -4% maximum food.,,,Tu cuerpo no aprovecha bien los alimentos. -4% comida maxima.,,,,,,,,,,
handicapBebedorDesc,buffs,Buff,,,Your body retains water poorly. -4% maximum water.,,,Tu cuerpo retiene mal el agua. -4% agua maxima.,,,,,,,,,,
handicapFriolentoDesc,buffs,Buff,,,Poor circulation. -15 cold resistance.,,,Mala circulacion. -15 de resistencia al frio.,,,,,,,,,,
handicapPielSensibleDesc,buffs,Buff,,,Sensitive skin in the sun. -15 heat resistance.,,,Piel sensible al sol. -15 de resistencia al calor.,,,,,,,,,,
handicapInmuneDebilDesc,buffs,Buff,,,Weak immune system. -7.5% infection resistance.,,,Sistema inmune debil. -7.5% resistencia a infecciones.,,,,,,,,,,
handicapSangreLigeraDesc,buffs,Buff,,,Your blood clots slowly. -7.5% bleeding resistance.,,,Tu sangre coagula lentamente. -7.5% resistencia a sangrado.,,,,,,,,,,
handicapManazasDesc,buffs,Buff,,,Clumsy hands. -4% crafting tier.,,,Manos torpes. -4% calidad/velocidad de crafteo.,,,,,,,,,,
handicapEspaldaDebilDesc,buffs,Buff,,,Tires easily under load. -4% stamina regen.,,,Te cansas con peso. -4% regeneracion de resistencia.,,,,,,,,,,
handicapMenteDispersaDesc,buffs,Buff,,,Hard to concentrate. -4% experience gain.,,,Te cuesta concentrarte. -4% ganancia de experiencia.,,,,,,,,,,
handicapPesimoNegociadorDesc,buffs,Buff,,,Traders take advantage of you. -4% sell prices.,,,Los comerciantes se aprovechan de ti. -4% precios de venta.,,,,,,,,,,
handicapVertigoDesc,buffs,Buff,,,Loses balance easily. -15% overall mobility.,,,Pierdes el equilibrio facilmente. -15% movilidad general.,,,,,,,,,,
buffPulmonesDeAceroDesc,buffs,Buff,,,Exceptional lungs. +4% maximum stamina.,,,Pulmones excepcionales. +4% resistencia maxima.,,,,,,,,,,
buffEstomagoDeHierroDesc,buffs,Buff,,,Tough stomach. +6% dysentery resistance.,,,Estomago resistente. +6% resistencia a disenteria.,,,,,,,,,,
buffFuerteDesc,buffs,Buff,,,Robust constitution. +4% melee damage.,,,Constitucion robusta. +4% dano cuerpo a cuerpo.,,,,,,,,,,
buffVelocistaDesc,buffs,Buff,,,Born to run. +4% run speed.,,,Naciste para correr. +4% velocidad de carrera.,,,,,,,,,,
buffMetabolismoLentoDesc,buffs,Buff,,,Makes the most of every bite. +4% maximum food.,,,Aprovechas cada bocado. +4% comida maxima.,,,,,,,,,,
buffCamelloDesc,buffs,Buff,,,Retains water efficiently. +4% maximum water.,,,Retienes el agua eficientemente. +4% agua maxima.,,,,,,,,,,
buffSangreFriaDesc,buffs,Buff,,,Handles extreme climates. +15 to both cold and heat resistance.,,,Soportas climas extremos. +15 a resistencias al frio y al calor.,,,,,,,,,,
