Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
moodLuckyName,buffs,Buff,,,Lucky Day,,,Dia de Suerte,,,,,,,,,,
moodLuckyDesc,buffs,Buff,,,Today luck is on your side. +10% loot drop chance.,,,Hoy la suerte esta de tu lado. +10% probabilidad de loot.,,,,,,,,,,
moodEnergeticName,buffs,Buff,,,Energetic Day,,,Dia Energico,,,,,,,,,,
moodEnergeticDesc,buffs,Buff,,,Feeling unusually energetic today. +10% stamina regen.,,,Hoy te sentis con mas energia. +10% regen de resistencia.,,,,,,,,,,
moodFocusedName,buffs,Buff,,,Focused Day,,,Dia Concentrado,,,,,,,,,,
moodFocusedDesc,buffs,Buff,,,Mental clarity today. +10% experience gain.,,,Claridad mental hoy. +10% ganancia de experiencia.,,,,,,,,,,
moodSatiatedName,buffs,Buff,,,Well-Fed Day,,,Dia Saciado,,,,,,,,,,
moodSatiatedDesc,buffs,Buff,,,Your body holds food better today. +10% maximum food.,,,Tu cuerpo retiene mejor los alimentos. +10% comida maxima.,,,,,,,,,,
moodInspiredName,buffs,Buff,,,Inspired Day,,,Dia Inspirado,,,,,,,,,,
moodInspiredDesc,buffs,Buff,,,Your hands work with precision today. +10% crafting tier.,,,Tus manos trabajan con precision. +10% calidad de crafteo.,,,,,,,,,,
moodWarmthName,buffs,Buff,,,Warm Blood Day,,,Dia de Sangre Caliente,,,,,,,,,,
moodWarmthDesc,buffs,Buff,,,Body temperature is well-regulated. +10 cold and heat resistance.,,,Tu cuerpo regula bien la temperatura. +10 a resistencia al frio y calor.,,,,,,,,,,
moodUnluckyName,buffs,Buff,,,Unlucky Day,,,Dia de Mala Suerte,,,,,,,,,,
moodUnluckyDesc,buffs,Buff,,,Luck is not on your side today. -10% loot drop chance.,,,La suerte no te acompana hoy. -10% probabilidad de loot.,,,,,,,,,,
moodSluggishName,buffs,Buff,,,Sluggish Day,,,Dia Aletargado,,,,,,,,,,
moodSluggishDesc,buffs,Buff,,,Heavy legs today. -5% run speed.,,,Hoy te pesan las piernas. -5% velocidad de carrera.,,,,,,,,,,
moodDistractedName,buffs,Buff,,,Distracted Day,,,Dia Distraido,,,,,,,,,,
moodDistractedDesc,buffs,Buff,,,Hard to focus today. -10% experience gain.,,,Te cuesta concentrarte hoy. -10% ganancia de experiencia.,,,,,,,,,,
moodHungryName,buffs,Buff,,,Hungry Day,,,Dia Hambriento,,,,,,,,,,
moodHungryDesc,buffs,Buff,,,Stomach feels small today. -10% maximum food.,,,Hoy tu estomago se siente chico. -10% comida maxima.,,,,,,,,,,
moodGloomyName,buffs,Buff,,,Gloomy Day,,,Dia Sombrio,,,,,,,,,,
moodGloomyDesc,buffs,Buff,,,Low spirits affect your stamina. -10% stamina regen.,,,Estado de animo bajo. -10% regen de resistencia.,,,,,,,,,,
moodColdName,buffs,Buff,,,Chilly Day,,,Dia Friolento,,,,,,,,,,
moodColdDesc,buffs,Buff,,,Your body struggles to keep warm. -10 cold resistance.,,,Te cuesta mantener el calor. -10 a resistencia al frio.,,,,,,,,,,
antiqueWeddingRing,items,Item,,,Rusted Wedding Ring,,,Alianza Oxidada,,,,,,,,,,
antiqueWeddingRingDesc,items,Item,,,An old gold band that once meant 'forever'. Worth something to a collector.,,,Una vieja alianza dorada que alguna vez significo 'para siempre'. Vale algo para un coleccionista.,,,,,,,,,,
antiqueFamilyPhoto,items,Item,,,Family Photo,,,Foto Familiar,,,,,,,,,,
antiqueFamilyPhotoDesc,items,Item,,,A faded photograph of strangers. They look happy.,,,Una foto descolorida de extranos. Parecen felices.,,,,,,,,,,
antiqueLuckyCoin,items,Item,,,Lucky Coin,,,Moneda de la Suerte,,,,,,,,,,
antiqueLuckyCoinDesc,items,Item,,,A worn coin from before. Tradition says it brings luck.,,,Una moneda gastada de antes. La tradicion dice que trae suerte.,,,,,,,,,,
antiqueBurntDiary,items,Item,,,Burnt Diary,,,Diario Quemado,,,,,,,,,,
antiqueBurntDiaryDesc,items,Item,,,Most pages are charred beyond reading. The intact ones speak of fear and family.,,,La mayoria de las paginas estan quemadas. Las intactas hablan de miedo y familia.,,,,,,,,,,
antiquePreWarBill,items,Item,,,Pre-War Bill,,,Billete Pre-Guerra,,,,,,,,,,
antiquePreWarBillDesc,items,Item,,,Worthless as currency now. A collector might pay for the nostalgia.,,,Ya no vale como dinero. Un coleccionista podria pagar por la nostalgia.,,,,,,,,,,
antiqueChildToy,items,Item,,,Child's Toy,,,Juguete de Nino,,,,,,,,,,
antiqueChildToyDesc,items,Item,,,A stuffed animal missing an eye. You wonder what happened to its owner.,,,Un peluche al que le falta un ojo. Te preguntas que paso con su dueno.,,,,,,,,,,
antiqueOldLetter,items,Item,,,Old Letter,,,Carta Vieja,,,,,,,,,,
antiqueOldLetterDesc,items,Item,,,Yellowed paper sealed with wax. Some words are still legible: 'I love you. Come home.',,,Papel amarillento sellado con cera. Aun se leen algunas palabras: 'Te amo. Volve a casa.',,,,,,,,,,
antiqueSilverLocket,items,Item,,,Silver Locket,,,Relicario de Plata,,,,,,,,,,
antiqueSilverLocketDesc,items,Item,,,A heart-shaped silver locket. Inside is a lock of dark hair.,,,Un relicario de plata en forma de corazon. Adentro hay un mechon de cabello oscuro.,,,,,,,,,,
